GEO_ID,County,State,Households_total
0500000US01003,Baldwin,Alabama,82325
0500000US01015,Calhoun,Alabama,44636
0500000US01043,Cullman,Alabama,32090
0500000US01049,DeKalb,Alabama,24880
0500000US01051,Elmore,Alabama,30712
0500000US01055,Etowah,Alabama,40053
0500000US01069,Houston,Alabama,39761
0500000US01073,Jefferson,Alabama,264753
0500000US01077,Lauderdale,Alabama,38761
0500000US01081,Lee,Alabama,64448
0500000US01083,Limestone,Alabama,32020
0500000US01089,Madison,Alabama,155878
0500000US01095,Marshall,Alabama,35330
0500000US01097,Mobile,Alabama,155946
0500000US01101,Montgomery,Alabama,88864
0500000US01103,Morgan,Alabama,46470
0500000US01115,St. Clair,Alabama,32829
0500000US01117,Shelby,Alabama,84048
0500000US01121,Talladega,Alabama,30602
0500000US01125,Tuscaloosa,Alabama,74259
0500000US01127,Walker,Alabama,25153
0500000US02020,Anchorage Municipality,Alaska,105198
0500000US02090,Fairbanks North Star Borough,Alaska,35556
0500000US02170,Matanuska-Susitna Borough,Alaska,32736
0500000US04001,Apache,Arizona,20925
0500000US04003,Cochise,Arizona,51982
0500000US04005,Coconino,Arizona,48993
0500000US04013,Maricopa,Arizona,1611722
0500000US04015,Mohave,Arizona,91095
0500000US04017,Navajo,Arizona,38732
0500000US04019,Pima,Arizona,410404
0500000US04021,Pinal,Arizona,153413
0500000US04025,Yavapai,Arizona,102784
0500000US04027,Yuma,Arizona,74042
0500000US05007,Benton,Arkansas,100749
0500000US05031,Craighead,Arkansas,41409
0500000US05045,Faulkner,Arkansas,47389
0500000US05051,Garland,Arkansas,41743
0500000US05069,Jefferson,Arkansas,27593
0500000US05085,Lonoke,Arkansas,26052
0500000US05119,Pulaski,Arkansas,158000
0500000US05125,Saline,Arkansas,45455
0500000US05131,Sebastian,Arkansas,51384
0500000US05143,Washington,Arkansas,89249
0500000US05145,White,Arkansas,28621
0500000US06001,Alameda,California,585632
0500000US06007,Butte,California,77651
0500000US06013,Contra Costa,California,399792
0500000US06017,El Dorado,California,74216
0500000US06019,Fresno,California,315974
0500000US06023,Humboldt,California,55692
0500000US06025,Imperial,California,48182
0500000US06029,Kern,California,272888
0500000US06031,Kings,California,44761
0500000US06033,Lake,California,25968
0500000US06037,Los Angeles,California,3328398
0500000US06039,Madera,California,44387
0500000US06041,Marin,California,105298
0500000US06045,Mendocino,California,34478
0500000US06047,Merced,California,80645
0500000US06053,Monterey,California,128227
0500000US06055,Napa,California,48107
0500000US06057,Nevada,California,39365
0500000US06059,Orange,California,1044280
0500000US06061,Placer,California,147236
0500000US06065,Riverside,California,734948
0500000US06067,Sacramento,California,556752
0500000US06071,San Bernardino,California,644758
0500000US06073,San Diego,California,1132434
0500000US06075,San Francisco,California,365851
0500000US06077,San Joaquin,California,230241
0500000US06079,San Luis Obispo,California,106512
0500000US06081,San Mateo,California,265003
0500000US06083,Santa Barbara,California,146466
0500000US06085,Santa Clara,California,643637
0500000US06087,Santa Cruz,California,97710
0500000US06089,Shasta,California,72714
0500000US06095,Solano,California,150393
0500000US06097,Sonoma,California,190689
0500000US06099,Stanislaus,California,174698
0500000US06101,Sutter,California,33039
0500000US06103,Tehama,California,25310
0500000US06107,Tulare,California,144109
0500000US06111,Ventura,California,268524
0500000US06113,Yolo,California,76075
0500000US06115,Yuba,California,26827
0500000US08001,Adams,Colorado,171977
0500000US08005,Arapahoe,Colorado,246302
0500000US08013,Boulder,Colorado,131854
0500000US08014,Broomfield,Colorado,28062
0500000US08031,Denver,Colorado,318445
0500000US08035,Douglas,Colorado,127476
0500000US08041,El Paso,Colorado,265798
0500000US08059,Jefferson,Colorado,236496
0500000US08069,Larimer,Colorado,146638
0500000US08077,Mesa,Colorado,63644
0500000US08101,Pueblo,Colorado,66111
0500000US08123,Weld,Colorado,111298
0500000US09001,Fairfield,Connecticut,340557
0500000US09003,Hartford,Connecticut,353234
0500000US09005,Litchfield,Connecticut,73969
0500000US09007,Middlesex,Connecticut,66884
0500000US09009,New Haven,Connecticut,329006
0500000US09011,New London,Connecticut,109752
0500000US09013,Tolland,Connecticut,56749
0500000US09015,Windham,Connecticut,47015
0500000US10001,Kent,Delaware,68023
0500000US10003,New Castle,Delaware,211592
0500000US10005,Sussex,Delaware,96624
0500000US11001,District of Columbia,District of Columbia,291570
0500000US12001,Alachua,Florida,103024
0500000US12005,Bay,Florida,69195
0500000US12009,Brevard,Florida,230043
0500000US12011,Broward,Florida,705472
0500000US12015,Charlotte,Florida,76589
0500000US12017,Citrus,Florida,64448
0500000US12019,Clay,Florida,75793
0500000US12021,Collier,Florida,140578
0500000US12023,Columbia,Florida,25240
0500000US12031,Duval,Florida,368668
0500000US12033,Escambia,Florida,120618
0500000US12035,Flagler,Florida,44464
0500000US12053,Hernando,Florida,78755
0500000US12055,Highlands,Florida,43351
0500000US12057,Hillsborough,Florida,541584
0500000US12061,Indian River,Florida,63917
0500000US12069,Lake,Florida,139192
0500000US12071,Lee,Florida,286887
0500000US12073,Leon,Florida,116283
0500000US12081,Manatee,Florida,145171
0500000US12083,Marion,Florida,145622
0500000US12085,Martin,Florida,65014
0500000US12086,Miami-Dade,Florida,912805
0500000US12087,Monroe,Florida,32839
0500000US12089,Nassau,Florida,35212
0500000US12091,Okaloosa,Florida,76097
0500000US12095,Orange,Florida,457949
0500000US12097,Osceola,Florida,111539
0500000US12099,Palm Beach,Florida,568915
0500000US12101,Pasco,Florida,212856
0500000US12103,Pinellas,Florida,395286
0500000US12105,Polk,Florida,238629
0500000US12107,Putnam,Florida,30866
0500000US12109,St. Johns,Florida,94761
0500000US12111,St. Lucie,Florida,116900
0500000US12113,Santa Rosa,Florida,66187
0500000US12115,Sarasota,Florida,187411
0500000US12117,Seminole,Florida,181142
0500000US12119,Sumter,Florida,59458
0500000US12127,Volusia,Florida,219451
0500000US12131,Walton,Florida,26475
0500000US13013,Barrow,Georgia,27765
0500000US13015,Bartow,Georgia,39742
0500000US13021,Bibb,Georgia,56726
0500000US13031,Bulloch,Georgia,28660
0500000US13045,Carroll,Georgia,42798
0500000US13047,Catoosa,Georgia,24130
0500000US13051,Chatham,Georgia,107987
0500000US13057,Cherokee,Georgia,93441
0500000US13059,Clarke,Georgia,52124
0500000US13063,Clayton,Georgia,97030
0500000US13067,Cobb,Georgia,286952
0500000US13073,Columbia,Georgia,46890
0500000US13077,Coweta,Georgia,53640
0500000US13089,DeKalb,Georgia,289829
0500000US13095,Dougherty,Georgia,32630
0500000US13097,Douglas,Georgia,48899
0500000US13113,Fayette,Georgia,41253
0500000US13115,Floyd,Georgia,35443
0500000US13117,Forsyth,Georgia,81765
0500000US13121,Fulton,Georgia,439578
0500000US13127,Glynn,Georgia,34614
0500000US13135,Gwinnett,Georgia,301471
0500000US13139,Hall,Georgia,65625
0500000US13151,Henry,Georgia,79550
0500000US13153,Houston,Georgia,58417
0500000US13157,Jackson,Georgia,25180
0500000US13185,Lowndes,Georgia,42639
0500000US13215,Muscogee,Georgia,73134
0500000US13217,Newton,Georgia,37867
0500000US13223,Paulding,Georgia,56476
0500000US13245,Richmond,Georgia,68361
0500000US13247,Rockdale,Georgia,32792
0500000US13255,Spalding,Georgia,25339
0500000US13285,Troup,Georgia,24436
0500000US13295,Walker,Georgia,26760
0500000US13297,Walton,Georgia,33350
0500000US13313,Whitfield,Georgia,34518
0500000US15001,Hawaii,Hawaii,71193
0500000US15003,Honolulu,Hawaii,316456
0500000US15007,Kauai,Hawaii,22898
0500000US15009,Maui,Hawaii,54744
0500000US16001,Ada,Idaho,184160
0500000US16005,Bannock,Idaho,32010
0500000US16019,Bonneville,Idaho,40776
0500000US16027,Canyon,Idaho,77449
0500000US16055,Kootenai,Idaho,65283
0500000US16083,Twin Falls,Idaho,31850
0500000US17001,Adams,Illinois,26993
0500000US17019,Champaign,Illinois,81764
0500000US17031,Cook,Illinois,1985613
0500000US17037,DeKalb,Illinois,39330
0500000US17043,DuPage,Illinois,342195
0500000US17089,Kane,Illinois,182223
0500000US17091,Kankakee,Illinois,39583
0500000US17093,Kendall,Illinois,41364
0500000US17097,Lake,Illinois,247661
0500000US17099,LaSalle,Illinois,45411
0500000US17111,McHenry,Illinois,112669
0500000US17113,McLean,Illinois,65118
0500000US17115,Macon,Illinois,42741
0500000US17119,Madison,Illinois,108104
0500000US17143,Peoria,Illinois,73666
0500000US17161,Rock Island,Illinois,60618
0500000US17163,St. Clair,Illinois,106156
0500000US17167,Sangamon,Illinois,83263
0500000US17179,Tazewell,Illinois,53127
0500000US17183,Vermilion,Illinois,31154
0500000US17197,Will,Illinois,230136
0500000US17199,Williamson,Illinois,27650
0500000US17201,Winnebago,Illinois,114833
0500000US18003,Allen,Indiana,146280
0500000US18005,Bartholomew,Indiana,30383
0500000US18011,Boone,Indiana,26803
0500000US18019,Clark,Indiana,43704
0500000US18035,Delaware,Indiana,45640
0500000US18039,Elkhart,Indiana,68553
0500000US18043,Floyd,Indiana,28544
0500000US18053,Grant,Indiana,27127
0500000US18057,Hamilton,Indiana,125328
0500000US18059,Hancock,Indiana,28985
0500000US18063,Hendricks,Indiana,61105
0500000US18067,Howard,Indiana,34151
0500000US18081,Johnson,Indiana,57160
0500000US18085,Kosciusko,Indiana,30991
0500000US18089,Lake,Indiana,190135
0500000US18091,LaPorte,Indiana,43100
0500000US18095,Madison,Indiana,51164
0500000US18097,Marion,Indiana,379451
0500000US18105,Monroe,Indiana,54053
0500000US18109,Morgan,Indiana,25863
0500000US18127,Porter,Indiana,65305
0500000US18141,St. Joseph,Indiana,105250
0500000US18157,Tippecanoe,Indiana,73916
0500000US18163,Vanderburgh,Indiana,75522
0500000US18167,Vigo,Indiana,42193
0500000US18177,Wayne,Indiana,27561
0500000US19013,Black Hawk,Iowa,51869
0500000US19049,Dallas,Iowa,36878
0500000US19061,Dubuque,Iowa,38345
0500000US19103,Johnson,Iowa,60782
0500000US19113,Linn,Iowa,93843
0500000US19153,Polk,Iowa,197731
0500000US19155,Pottawattamie,Iowa,37344
0500000US19163,Scott,Iowa,68534
0500000US19169,Story,Iowa,39168
0500000US19193,Woodbury,Iowa,39733
0500000US20015,Butler,Kansas,25004
0500000US20045,Douglas,Kansas,48508
0500000US20091,Johnson,Kansas,231960
0500000US20103,Leavenworth,Kansas,27860
0500000US20161,Riley,Kansas,25662
0500000US20173,Sedgwick,Kansas,199517
0500000US20177,Shawnee,Kansas,73172
0500000US20209,Wyandotte,Kansas,61248
0500000US21015,Boone,Kentucky,48770
0500000US21029,Bullitt,Kentucky,30553
0500000US21037,Campbell,Kentucky,38110
0500000US21047,Christian,Kentucky,26209
0500000US21059,Daviess,Kentucky,40800
0500000US21067,Fayette,Kentucky,131929
0500000US21093,Hardin,Kentucky,42644
0500000US21111,Jefferson,Kentucky,316174
0500000US21117,Kenton,Kentucky,65362
0500000US21145,McCracken,Kentucky,28363
0500000US21151,Madison,Kentucky,34270
0500000US21185,Oldham,Kentucky,20761
0500000US21227,Warren,Kentucky,50489
0500000US22005,Ascension Parish,Louisiana,44267
0500000US22015,Bossier Parish,Louisiana,49735
0500000US22017,Caddo Parish,Louisiana,92589
0500000US22019,Calcasieu Parish,Louisiana,77232
0500000US22033,East Baton Rouge Parish,Louisiana,161536
0500000US22045,Iberia Parish,Louisiana,26185
0500000US22051,Jefferson Parish,Louisiana,171991
0500000US22055,Lafayette Parish,Louisiana,94490
0500000US22057,Lafourche Parish,Louisiana,36759
0500000US22063,Livingston Parish,Louisiana,47014
0500000US22071,Orleans Parish,Louisiana,151753
0500000US22073,Ouachita Parish,Louisiana,57835
0500000US22079,Rapides Parish,Louisiana,48975
0500000US22097,St. Landry Parish,Louisiana,30441
0500000US22103,St. Tammany Parish,Louisiana,94988
0500000US22105,Tangipahoa Parish,Louisiana,46526
0500000US22109,Terrebonne Parish,Louisiana,40173
0500000US23001,Androscoggin,Maine,45924
0500000US23003,Aroostook,Maine,30197
0500000US23005,Cumberland,Maine,124925
0500000US23011,Kennebec,Maine,54480
0500000US23019,Penobscot,Maine,64096
0500000US23031,York,Maine,86227
0500000US24001,Allegany,Maryland,26549
0500000US24003,Anne Arundel,Maryland,216200
0500000US24005,Baltimore,Maryland,312466
0500000US24009,Calvert,Maryland,32780
0500000US24013,Carroll,Maryland,60617
0500000US24015,Cecil,Maryland,38547
0500000US24017,Charles,Maryland,57732
0500000US24021,Frederick,Maryland,93768
0500000US24025,Harford,Maryland,96203
0500000US24027,Howard,Maryland,115772
0500000US24031,Montgomery,Maryland,368897
0500000US24033,Prince George's,Maryland,316361
0500000US24037,St. Mary's,Maryland,40320
0500000US24043,Washington,Maryland,56225
0500000US24045,Wicomico,Maryland,38088
0500000US24510,Baltimore city,Maryland,242694
0500000US25001,Barnstable,Massachusetts,96509
0500000US25003,Berkshire,Massachusetts,53792
0500000US25005,Bristol,Massachusetts,220528
0500000US25009,Essex,Massachusetts,297898
0500000US25011,Franklin,Massachusetts,30927
0500000US25013,Hampden,Massachusetts,179970
0500000US25015,Hampshire,Massachusetts,60002
0500000US25017,Middlesex,Massachusetts,612366
0500000US25021,Norfolk,Massachusetts,269717
0500000US25023,Plymouth,Massachusetts,191041
0500000US25025,Suffolk,Massachusetts,309945
0500000US25027,Worcester,Massachusetts,316162
0500000US26005,Allegan,Michigan,43667
0500000US26017,Bay,Michigan,44887
0500000US26021,Berrien,Michigan,61809
0500000US26025,Calhoun,Michigan,53827
0500000US26037,Clinton,Michigan,30070
0500000US26045,Eaton,Michigan,44420
0500000US26049,Genesee,Michigan,169247
0500000US26055,Grand Traverse,Michigan,37408
0500000US26065,Ingham,Michigan,114534
0500000US26073,Isabella,Michigan,24690
0500000US26075,Jackson,Michigan,61403
0500000US26077,Kalamazoo,Michigan,103196
0500000US26081,Kent,Michigan,245437
0500000US26087,Lapeer,Michigan,33902
0500000US26091,Lenawee,Michigan,38499
0500000US26093,Livingston,Michigan,73502
0500000US26099,Macomb,Michigan,351666
0500000US26103,Marquette,Michigan,27981
0500000US26111,Midland,Michigan,34350
0500000US26115,Monroe,Michigan,60875
0500000US26121,Muskegon,Michigan,66148
0500000US26125,Oakland,Michigan,508464
0500000US26139,Ottawa,Michigan,105004
0500000US26145,Saginaw,Michigan,79050
0500000US26147,St. Clair,Michigan,63806
0500000US26155,Shiawassee,Michigan,26830
0500000US26159,Van Buren,Michigan,30974
0500000US26161,Washtenaw,Michigan,141680
0500000US26163,Wayne,Michigan,689270
0500000US27003,Anoka,Minnesota,131858
0500000US27013,Blue Earth,Minnesota,26461
0500000US27019,Carver,Minnesota,38860
0500000US27035,Crow Wing,Minnesota,28012
0500000US27037,Dakota,Minnesota,162895
0500000US27053,Hennepin,Minnesota,517091
0500000US27109,Olmsted,Minnesota,65635
0500000US27123,Ramsey,Minnesota,206124
0500000US27131,Rice,Minnesota,22861
0500000US27137,St. Louis,Minnesota,86448
0500000US27139,Scott,Minnesota,51474
0500000US27141,Sherburne,Minnesota,32686
0500000US27145,Stearns,Minnesota,59776
0500000US27163,Washington,Minnesota,97059
0500000US27171,Wright,Minnesota,49443
0500000US28033,DeSoto,Mississippi,65220
0500000US28035,Forrest,Mississippi,27340
0500000US28047,Harrison,Mississippi,74628
0500000US28049,Hinds,Mississippi,88471
0500000US28059,Jackson,Mississippi,56323
0500000US28067,Jones,Mississippi,24178
0500000US28075,Lauderdale,Mississippi,29367
0500000US28081,Lee,Mississippi,30378
0500000US28089,Madison,Mississippi,40046
0500000US28121,Rankin,Mississippi,57011
0500000US29019,Boone,Missouri,70721
0500000US29021,Buchanan,Missouri,33984
0500000US29031,Cape Girardeau,Missouri,31335
0500000US29037,Cass,Missouri,40544
0500000US29043,Christian,Missouri,33227
0500000US29047,Clay,Missouri,93066
0500000US29051,Cole,Missouri,31437
0500000US29071,Franklin,Missouri,42161
0500000US29077,Greene,Missouri,133900
0500000US29095,Jackson,Missouri,292571
0500000US29097,Jasper,Missouri,45019
0500000US29099,Jefferson,Missouri,83841
0500000US29165,Platte,Missouri,40332
0500000US29183,St. Charles,Missouri,150668
0500000US29187,St. Francois,Missouri,24021
0500000US29189,St. Louis,Missouri,410842
0500000US29510,St. Louis city,Missouri,146779
0500000US30013,Cascade,Montana,32816
0500000US30029,Flathead,Montana,40681
0500000US30031,Gallatin,Montana,46990
0500000US30049,Lewis and Clark,Montana,27405
0500000US30063,Missoula,Montana,50853
0500000US30111,Yellowstone,Montana,69989
0500000US31055,Douglas,Nebraska,222819
0500000US31109,Lancaster,Nebraska,128385
0500000US31153,Sarpy,Nebraska,68947
0500000US32003,Clark,Nevada,813607
0500000US32031,Washoe,Nevada,191091
0500000US33005,Cheshire,New Hampshire,29698
0500000US33009,Grafton,New Hampshire,35780
0500000US33011,Hillsborough,New Hampshire,162588
0500000US33013,Merrimack,New Hampshire,60017
0500000US33015,Rockingham,New Hampshire,124212
