State,County,Population,Ratio,Household,Interaction,Death_rt_2020,Death_rt_2021
California,Alameda,1661584,0.33,585632,0.1262250801580298,39.540582961800304,92.92337913701624
California,Butte,223344,0.18,77651,0.009129068672990272,42.98302170642596,152.67927501970055
California,Contra Costa,1147788,0.29,399792,0.07572495314823997,29.186574524215274,93.48416258054624
California,El Dorado,190345,0.24,74216,0.011633642161889241,11.557960545325592,90.36223699072737
California,Fresno,990204,0.13,315974,0.026828822754971008,65.23908204773966,240.25352351636633
California,Humboldt,136101,0.21,55692,0.0076386924567471105,16.164466095032367,89.63931198154312
California,Imperial,180580,0.09,48182,0.0028322673681087,232.03012515228707,442.4631742164138
California,Kern,892458,0.1,272888,0.017823432852942935,57.369646526783335,214.91207429369226
California,Kings,151090,0.09,44761,0.0026311717999234884,72.80428883446952,256.13872526308825
California,Lake,64276,0.11,25968,0.0018656840709659066,35.78318501462443,182.02750637874166
California,Los Angeles,10040682,0.22,3328398,0.47826086956521735,103.03084989645126,275.25022702641115
California,Madera,155925,0.09,44387,0.002609187075427356,75.03607503607503,207.7922077922078
California,Marin,259441,0.44,105298,0.030260751895343198,53.576728427657926,95.97557826249513
California,Mendocino,87110,0.17,34478,0.0038282289453416907,29.847319481115832,120.53725175066009
California,Merced,273661,0.08,80645,0.004213804175854073,95.00805741409992,255.42550820175327
California,Monterey,432977,0.16,128227,0.013400048807917175,44.57511599923322,149.89248851555627
California,Napa,138572,0.25,48107,0.007855162962978638,20.20610224287735,77.21617642813844
California,Nevada,99417,0.28,39365,0.007199050218100747,50.293209410865344,110.64506070390375
California,Orange,3170345,0.28,1044280,0.1909773697893623,59.14182841299606,185.78419698802497
California,Placer,391799,0.27,147236,0.02596478258753389,31.904114099321337,124.80889435654507
California,Riverside,2437864,0.14,734948,0.06720344925305104,81.4237381576659,229.09399375847053
California,Sacramento,1537948,0.2,556752,0.07272750643298119,55.72360053785954,165.61028071170156
California,San Bernardino,2162532,0.13,644758,0.054745321139870996,66.81982046970866,279.81088834754814
California,San Diego,3323970,0.26,1132434,0.19230614587088077,46.14963432281278,134.44766348673423
California,San Francisco,874784,0.46,365851,0.10991804465691904,21.262391630391043,77.96210264476717
California,San Joaquin,751615,0.12,230241,0.018045579154060718,86.61349227995716,253.0550880437458
California,San Luis Obispo,282517,0.24,106512,0.01669616381841041,29.024802047310427,129.903687211743
California,San Mateo,765623,0.37,265003,0.06404119548098566,29.649057042434723,83.06960475325323
California,Santa Barbara,444895,0.21,146466,0.02008921800922794,35.96354195933872,127.67057395565246
California,Santa Clara,1924379,0.36,643637,0.1513388462087401,36.895019120453924,102.37068685534399
California,Santa Cruz,273170,0.27,97710,0.01723096869398745,30.38400995716953,83.46450927993557
California,Shasta,179267,0.16,72714,0.0075987986073049315,43.510517830944906,273.8931314742814
California,Solano,444538,0.18,150393,0.01768100893661416,22.045359451835388,85.25705339026135
California,Sonoma,496801,0.26,190689,0.03238216677525788,38.64726520276731,84.13831695185799
California,Stanislaus,546235,0.11,174698,0.012551266013154727,112.77197543181964,269.66415553745185
California,Sutter,96315,0.12,33039,0.0025894948756781462,53.989513575247884,200.38415615428542
California,Tehama,64176,0.11,25310,0.001818409728748733,56.09573672400897,216.59187235103465
California,Tulare,463955,0.09,144109,0.008471114070623398,87.50848681445399,250.0242480412971
California,Ventura,845599,0.23,268524,0.0403383249238823,31.102212750961154,143.2120898913078
California,Yolo,218774,0.24,76075,0.01192504752972033,50.737290537266766,123.41503103659484
California,Yuba,77524,0.1,26827,0.0017521812360598494,24.508539291058252,127.70238893761932
Florida,Alachua,268105,0.26,103024,0.1011895693248681,48.115477145148354,201.04063706383693
Florida,Bay,180076,0.17,69195,0.04443729625374156,116.0621071103312,390.9460450032209
Florida,Brevard,594001,0.22,230043,0.19118582754295257,88.04698981988246,300.3361947202109
Florida,Broward,1942273,0.23,705472,0.6129592583980905,95.0947678312987,256.29764713817264
Florida,Charlotte,185926,0.19,76589,0.05497231062494181,124.24297838925163,363.5855125157321
Florida,Citrus,147938,0.14,64448,0.034084856662931186,179.80505346834485,567.1294731576742
Florida,Clay,215294,0.16,75793,0.04581134808223761,86.39348983250811,326.5302330766301
Florida,Collier,379345,0.27,140578,0.1433854607689938,87.51927664790625,233.03325468900343
Florida,Columbia,70898,0.1,25240,0.00953483852067207,165.02581172952694,451.3526474653728
Florida,Duval,948651,0.2,368668,0.27854119237235586,76.42431199671955,304.53770670141074
Florida,Escambia,316691,0.18,120618,0.08201789519950724,117.78042318853393,349.552087050153
Florida,Flagler,112854,0.18,44464,0.03023465562478975,42.532830028178,246.3359739131976
Florida,Hernando,190700,0.13,78755,0.03867634984168731,145.77871001573152,489.7745149449397
Florida,Highlands,104574,0.13,43351,0.021289549133223118,195.07717023351884,544.1123032493737
Florida,Hillsborough,1451358,0.22,541584,0.45010361203784705,73.79295804343242,216.2802010255223
Florida,Indian River,156964,0.22,63917,0.053120610229665334,101.29711271374327,363.14059274738156
Florida,Lake,356115,0.17,139192,0.08938964000506965,82.838408940932,351.0102073768305
Florida,Lee,756570,0.2,286887,0.21675286994295154,88.82191998096673,245.44985923311788
Florida,Leon,291863,0.27,116283,0.11860526920713702,59.95963859756119,181.59204832404245
Florida,Manatee,393847,0.21,145171,0.11516570087390723,109.94117004826748,311.54229942084106
Florida,Marion,360210,0.15,145622,0.08251677427044225,128.5361317009522,498.87565586741067
Florida,Martin,160420,0.26,65014,0.06385636997288957,130.90637077671113,326.01919960104726
Florida,Miami-Dade,2705528,0.21,912805,0.7241379310344828,154.79418435144638,342.2622127732553
Florida,Monroe,75137,0.28,32839,0.03473537139877102,46.581577651489944,131.75931964278584
Florida,Nassau,85762,0.2,35212,0.026603861647377575,76.95716051398055,290.3383783027448
Florida,Okaloosa,207430,0.21,76097,0.06036856079658967,111.36286940172589,280.09448970737117
Florida,Orange,1373784,0.22,457949,0.38059562141628994,54.44815196566564,166.76566330660424
Florida,Osceola,363666,0.13,111539,0.05477647622362975,79.19354572602333,257.10404602024937
Florida,Palm Beach,1482057,0.26,568915,0.558784980513835,127.86282848770324,291.6217122553316
Florida,Pasco,539885,0.17,212856,0.13669694531955215,69.64446132046639,299.8786778665827
Florida,Pinellas,970985,0.24,395286,0.3583823942455512,108.03462463374821,286.10122710443517
Florida,Polk,705735,0.13,238629,0.11719000300135866,111.94003414879523,358.6331980134186
Florida,Putnam,73784,0.09,30866,0.010494139984198009,97.58213162745311,519.0827279627019
Florida,Santa Rosa,255410,0.29,94761,0.10381297210247534,50.115500567714655,206.3349124936377
Florida,Sarasota,320914,0.15,116900,0.0662414395641778,158.60947169646695,421.29667138236414
Florida,Seminole,179587,0.18,66187,0.04500587333208796,174.845618001303,501.14986051328884
Florida,St. Johns,427766,0.27,187411,0.19115375512653401,26.416311721829224,111.50956363993399
Florida,St. Lucie,466695,0.27,181142,0.1847595579295272,86.78044547295343,224.34352200044998
Florida,Sumter,129938,0.27,59458,0.060645426214648336,92.35173698225307,365.5589588880851
Florida,Volusia,546107,0.17,219451,0.14093227979160108,82.21831985306909,301.58924899332914
Florida,Walton,71049,0.19,26475,0.01900262340277761,67.55900857154921,243.4939267266253
New York,Albany,306165,0.28,128284,0.21139953067735387,65.97749579475119,143.38673591037514
New York,Broome,192042,0.19,79309,0.08868487724538493,106.22676289561659,241.09309421897294
New York,Cattaraugus,76750,0.13,33056,0.025291066673195497,54.72312703583062,246.2540716612378
New York,Cayuga,76958,0.16,31489,0.02965188764882914,25.98820135658411,155.92920813950465
New York,Chautauqua,127584,0.16,55345,0.05211609520545107,16.45974416854778,173.2192124404314
New York,Chemung,84115,0.17,33490,0.033507155663699814,114.12946561255424,230.63662842537002
New York,Clinton,80320,0.16,31422,0.029588796522643124,9.9601593625498,70.96613545816733
New York,Dutchess,293524,0.24,110529,0.1561208750645036,79.72090868208392,182.26788950818332
New York,Erie,918873,0.24,398326,0.562630655130721,129.94178738519904,243.8857165244816
New York,Jefferson,111454,0.14,41214,0.033958327840324834,8.07508030218745,105.87327507312433
New York,Livingston,63218,0.18,23409,0.024798696932829604,37.96387104938467,147.11000031636559
New York,Madison,70990,0.18,25986,0.027528682920949638,92.97084096351598,163.40329623890688
New York,Monroe,743084,0.27,305284,0.4851112004640493,75.7653239741402,181.54071410500023
New York,Nassau,1355683,0.32,449798,0.8471123097378799,176.2949007990806,251.1649109710751
New York,Niagara,210145,0.18,90625,0.09600503693185027,83.75169525803612,223.65509529134644
New York,Oneida,229074,0.18,90273,0.0956321401263329,108.26195901761002,306.01465028767996
New York,Onondaga,461591,0.25,183218,0.2695762583383869,92.28949437922317,191.07824892599726
New York,Ontario,109774,0.26,46025,0.07042723521501831,56.47967642611183,131.17860331225972
New York,Orange,382077,0.19,131421,0.1469575363762717,133.48094755769125,217.75715366274338
New York,Oswego,117630,0.13,46640,0.03568415263909239,30.6044376434583,124.96812037745472
New York,Putnam,98714,0.28,34470,0.05680320088591242,67.87284478392122,107.38091861336791
New York,Rensselaer,159013,0.23,65790,0.08905559646539027,50.939231383597566,133.9513121568677
New York,Rockland,325213,0.26,101424,0.15519852046600802,179.88210803381168,247.53008028584344
New York,Saratoga,108352,0.16,42832,0.04033312114626218,36.91671588895452,246.41907855877142
New York,Schenectady,229313,0.29,93547,0.1596619233753564,36.195069620998375,115.99865685765744
New York,St. Lawrence,155086,0.22,62534,0.08096780845910752,27.081748191326103,102.52376101002025
New York,Steuben,95843,0.17,39283,0.03930312319907793,125.20476195444634,225.3685715180034
New York,Suffolk,1481364,0.25,499744,0.7352941176470588,155.194806948191,256.85786882899816
New York,Sullivan,75329,0.17,28960,0.028974835115579176,53.100399580506846,135.40601893029245
New York,Tompkins,102237,0.31,40322,0.07356601874277277,13.693672545164667,69.4464821933351
New York,Ulster,178371,0.24,69376,0.0979927605286848,79.048724288141,174.91632608439713
New York,Warren,64187,0.23,29593,0.04005809798146062,49.8543318740555,163.5845264617446
New York,Wayne,90103,0.16,36634,0.03449672114475553,39.95427455245663,138.73011997380775
New York,Westchester,968738,0.34,355136,0.7106358455529231,171.7698696654823,248.0546855806214
